"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
130294,"Protarchaeopteryx","omnivorous","small theropod",2,130,122.46,"Liaoning",120.73333,41.799999,"Saurischia","Archaeopterygidae"
130295,"Caudipteryx","omnivorous","small theropod",1,130,122.46,"Liaoning",120.73333,41.799999,"Saurischia","Caudipterygidae"
139242,"Gorgosaurus","carnivorous","large theropod",8.6,83.5,70.6,"Alberta",-111.528732,50.740726,"Saurischia","Tyrannosauridae"
139250,"Gorgosaurus","carnivorous","large theropod",8.6,83.5,70.6,"Alberta",-111.549347,50.737015,"Saurischia","Tyrannosauridae"
139252,"Gorgosaurus","carnivorous","large theropod",8.6,83.5,70.6,"Alberta",-111.564636,50.723866,"Saurischia","Tyrannosauridae"
139253,"Gorgosaurus","carnivorous","large theropod",8.6,83.5,70.6,"Alberta",-111.525337,50.740471,"Saurischia","Tyrannosauridae"
139254,"Gorgosaurus","carnivorous","large theropod",8.6,83.5,70.6,"Alberta",-111.601021,50.786999,"Saurischia","Tyrannosauridae"
139255,"Albertosaurus","carnivorous","large theropod",9,72.1,66,"Alberta",-112.981903,51.8046,"Saurischia","Tyrannosauridae"
139256,"Albertosaurus","carnivorous","large theropod",9,70.6,66,"Alberta",-112.981903,51.819099,"Saurischia","Tyrannosauridae"
139257,"Albertosaurus","carnivorous","large theropod",9,83.5,70.6,"Alberta",-112.818901,51.542702,"Saurischia","Tyrannosauridae"
139258,"Albertosaurus","carnivorous","large theropod",9,83.5,70.6,"Alberta",-112.8423,51.469898,"Saurischia","Tyrannosauridae"
139259,"Albertosaurus","carnivorous","large theropod",9,83.5,70.6,"Alberta",-112.702202,51.4408,"Saurischia","Tyrannosauridae"
139260,"Isisaurus","herbivorous","sauropod",18,72.1,66,"Maharashtra",80.366669,21.183332,"Saurischia",null
139261,"Daspletosaurus","carnivorous","large theropod",9,83.5,70.6,"Alberta",-110.681999,49.083698,"Saurischia","Tyrannosauridae"
139262,"Daspletosaurus","carnivorous","large theropod",9,83.5,70.6,"Alberta",-111.511902,50.742401,"Saurischia","Tyrannosauridae"
139290,"Daspletosaurus","carnivorous","large theropod",9,83.5,70.6,"Alberta",-111.485008,50.751526,"Saurischia","Tyrannosauridae"
139291,"Albertosaurus","carnivorous","large theropod",9,70.6,66,"Alberta",-112.934799,51.928299,"Saurischia","Tyrannosauridae"
139292,"Tyrannosaurus","carnivorous","large theropod",12,72.1,66,"Alberta",-113.0289,51.906399,"Saurischia","Tyrannosauridae"
139293,"Tyrannosaurus","carnivorous","large theropod",12,72.1,66,"Alberta",-113.23333,51.933334,"Saurischia","Tyrannosauridae"
139306,"Amygdalodon","herbivorous","sauropod",15,180.1,171.6,"Chubut",-69.51667,-43.966667,"Saurischia",null
139307,"Camarasaurus","herbivorous","sauropod",23,157.3,145,"Colorado",-108.63855,39.031395,"Saurischia",null
139308,"Camarasaurus","herbivorous","sauropod",23,157.3,152.1,"Colorado",-108.717499,39.111668,"Saurischia",null
144307,"Bistahieversor",null,null,null,83.5,70.6,"New Mexico",-107.966393,36.06028,"Saurischia",null
148500,"Sonorasaurus",null,null,null,105.3,93.5,"Arizona",-110.418053,31.81139,"Saurischia","Brachiosauridae"
148628,"Mononykus","carnivorous","small theropod",1,72.1,66,"Omnogov",99.599998,43.540001,"Saurischia",null
148629,"Tarbosaurus","carnivorous","large theropod",10,72.1,66,"Omnogov",99.599998,43.540001,"Saurischia","Tyrannosauridae"
149592,"Allosaurus","carnivorous","large theropod",12,157.3,145,"Wyoming",-106.041,41.893101,"Saurischia","Allosauridae"
149596,"Allosaurus","carnivorous","large theropod",12,157.3,145,"Wyoming",-106.389999,42.035831,"Saurischia","Allosauridae"
149598,"Diplodocus","herbivorous","sauropod",26,157.3,145,"Wyoming",-106.389999,42.035831,"Saurischia","Diplodocidae"
149600,"Camarasaurus","herbivorous","sauropod",23,157.3,145,"Wyoming",-106.389999,42.035831,"Saurischia",null
149988,"Efraasia",null,null,null,228,208.5,"Baden-Württemberg",8.978333,49.023609,"Saurischia",null
150175,"Massospondylus","omnivorous","sauropod",4,201.3,190.8,"Free State",28.623056,-28.509443,"Saurischia","Massospondylidae"
150240,"Amargasaurus","herbivorous","sauropod",12,129.4,122.46,"Neuquén",-70.194786,-39.481979,"Saurischia","Dicraeosauridae"
150311,"Apatosaurus","herbivorous","sauropod",21,157.3,145,"Colorado",-105.187332,39.653423,"Saurischia","Diplodocidae"
150350,"Diplodocus","herbivorous","sauropod",26,157.3,145,"Wyoming",-105.916199,42.152302,"Saurischia","Diplodocidae"
150351,"Brontosaurus","herbivorous","sauropod",22,157.3,145,"Wyoming",-105.916199,42.152302,"Saurischia","Diplodocidae"
150354,"Camarasaurus","herbivorous","sauropod",23,157.3,145,"Wyoming",-105.916199,42.152302,"Saurischia",null
150849,"Dilophosaurus","carnivorous","large theropod",6,199.3,182.7,"Arizona",-110.32,36.145279,"Saurischia",null
150850,"Dilophosaurus","carnivorous","large theropod",6,199.3,182.7,"Arizona",-110.300003,36.099998,"Saurischia",null
219971,"Diplodocus","herbivorous","sauropod",26,157.3,145,"Wyoming",-106.048615,42.017776,"Saurischia","Diplodocidae"
219972,"Camarasaurus","herbivorous","sauropod",23,157.3,145,"Wyoming",-106.048615,42.017776,"Saurischia",null
219974,"Brontosaurus","herbivorous","sauropod",22,157.3,145,"Wyoming",-106.048615,42.017776,"Saurischia","Diplodocidae"
219975,"Allosaurus","carnivorous","large theropod",12,157.3,145,"Wyoming",-106.048615,42.017776,"Saurischia","Allosauridae"
219980,"Camarasaurus","herbivorous","sauropod",23,155.7,150.8,"Wyoming",-108.120003,43.380001,"Saurischia",null
219998,"Tyrannosaurus","carnivorous","large theropod",12,83.5,70.6,"Alberta",-111.525871,50.728848,"Saurischia","Tyrannosauridae"
220009,"Tyrannosaurus","carnivorous","large theropod",12,83.5,70.6,"Alberta",-111.524582,50.727234,"Saurischia","Tyrannosauridae"
220011,"Velociraptor","carnivorous","small theropod",1.8,83.5,70.6,"Alberta",-111.524582,50.727234,"Saurischia","Dromaeosauridae"
220028,"Gorgosaurus","carnivorous","large theropod",8.6,83.5,70.6,"Alberta",-111.484657,50.750553,"Saurischia","Tyrannosauridae"
220033,"Coelophysis","carnivorous","small theropod",2,201.3,190.8,"Matabeleland North",30.1,-16.216667,"Saurischia",null
220038,"Kotasaurus","herbivorous","sauropod",9,199.3,182.7,"Andhra Pradesh",79.845581,19.106924,"Saurischia",null
220055,"Diplodocus","herbivorous","sauropod",26,155.7,145,"Wyoming",-108.199997,43.630001,"Saurischia","Diplodocidae"
220056,"Camarasaurus","herbivorous","sauropod",23,155.7,145,"Wyoming",-108.199997,43.630001,"Saurischia",null
220058,"Allosaurus","carnivorous","large theropod",12,155.7,145,"Wyoming",-108.199997,43.630001,"Saurischia","Allosauridae"
220060,"Barosaurus","herbivorous","sauropod",24,155.7,145,"Wyoming",-108.199997,43.630001,"Saurischia","Diplodocidae"
220070,"Plateosaurus","herbivorous","sauropod",7,228,208.5,"Aargau",8.016667,47.5,"Saurischia","Plateosauridae"
220073,"Liliensternus","carnivorous","small theropod",5,228,208.5,"Aargau",8.016667,47.5,"Saurischia",null
220082,"Plateosaurus","herbivorous","sauropod",7,228,208.5,"Baden-Württemberg",8.65,48.066669,"Saurischia","Plateosauridae"
220084,"Liliensternus","carnivorous","small theropod",5,228,208.5,"Baden-Württemberg",8.65,48.066669,"Saurischia",null
220087,"Liliensternus","carnivorous","small theropod",5,208.5,201.3,"Sachsen-Anhalt",11.073611,51.897499,"Saurischia",null
220090,"Velociraptor","carnivorous","small theropod",1.8,83.5,70.6,"Omnogov",103.333336,44.25,"Saurischia","Dromaeosauridae"
220099,"Troodon","carnivorous","small theropod",2,85.8,70.6,"Montana",-113.75,48.633301,"Saurischia","Troodontidae"
220162,"Allosaurus","carnivorous","large theropod",12,157.3,145,"Utah",-109.205833,40.423611,"Saurischia","Allosauridae"
220163,"Diplodocus","herbivorous","sauropod",26,157.3,145,"Utah",-109.205833,40.423611,"Saurischia","Diplodocidae"
225583,"Apatosaurus","herbivorous","sauropod",21,150.8,145,"Utah",-109.300552,40.441387,"Saurischia","Diplodocidae"
229333,"Chindesaurus","carnivorous","small theropod",4,228,208.5,"Texas",-101.247002,32.1721,"Saurischia","Herrerasauridae"
247238,"Sauroposeidon",null,null,null,125,100.5,"Oklahoma",-96.099998,34.400002,"Saurischia",null
248041,"Dromaeosaurus","carnivorous","small theropod",1.8,83.5,70.6,"Montana",-109.297203,46.465099,"Saurischia","Dromaeosauridae"
248042,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Montana",-109.297203,46.465099,"Saurischia","Dromaeosauridae"
248043,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Montana",-109.297203,46.465099,"Saurischia","Troodontidae"
248044,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Montana",-109.297203,46.465099,"Saurischia","Dromaeosauridae"
248060,"Dromaeosaurus","carnivorous","small theropod",1.8,83.5,70.6,"Montana",-109.900002,46.200001,"Saurischia","Dromaeosauridae"
248061,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Montana",-109.900002,46.200001,"Saurischia","Dromaeosauridae"
248062,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Montana",-109.900002,46.200001,"Saurischia","Troodontidae"
248063,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Montana",-109.900002,46.200001,"Saurischia","Dromaeosauridae"
255621,"Dryptosaurus","carnivorous","large theropod",6.4,83.5,70.6,"New Jersey",-74.300003,40.299999,"Saurischia",null
255936,"Sphingopus",null,null,null,247.2,237,"Saône-et-Loire",4.432778,46.841946,"Saurischia","Parachirotheriidae"
256216,"Mamenchisaurus","herbivorous","sauropod",22,163.5,157.3,"Sichuan",104.516701,28.700001,"Saurischia","Mamenchisauridae"
256434,"Eoraptor","carnivorous","small theropod",1,237,228,"San Juan",-68.904999,-31.10111,"Saurischia",null
256435,"Herrerasaurus","carnivorous","small theropod",3,237,228,"San Juan",-68.904999,-31.10111,"Saurischia","Herrerasauridae"
256441,"Herrerasaurus","carnivorous","small theropod",3,237,228,"San Juan",-68.283333,-30.133333,"Saurischia","Herrerasauridae"
256442,"Titanosaurus",null,null,null,72.1,66,"Madhya Pradesh",80.366699,23.35,"Saurischia",null
256680,"Haestasaurus",null,null,null,145,132.9,"England",0.6,50.849998,"Saurischia",null
256913,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"New Mexico",-107.199997,35.700001,"Saurischia","Dromaeosauridae"
259970,"Dilophosaurus","carnivorous","large theropod",6,201.3,190.8,"Yunnan",102.591942,24.671667,"Saurischia",null
259971,"Yunnanosaurus","omnivorous","sauropod",7,201.3,190.8,"Yunnan",102.591942,24.671667,"Saurischia",null
259972,"Carcharodontosaurus","carnivorous","large theropod",15,99.6,93.5,"Al Jizah",29.116669,28.33333,"Saurischia","Carcharodontosauridae"
259976,"Spinosaurus","carnivorous","large theropod",18,99.6,93.5,"Matruh",28.914782,28.43112,"Saurischia","Spinosauridae"
260021,"Carcharodontosaurus","carnivorous","large theropod",15,145,99.6,"Illizi",9.566667,28.5,"Saurischia","Carcharodontosauridae"
260022,"Elaphrosaurus","carnivorous","large theropod",6.2,145,99.6,"Illizi",9.566667,28.5,"Saurischia",null
260025,"Carcharodontosaurus","carnivorous","large theropod",15,145,99.6,"Adrar",1.083333,27.033333,"Saurischia","Carcharodontosauridae"
260035,"Elaphrosaurus","carnivorous","large theropod",6.2,112.03,93.5,"Tataouine",10.283333,32.808334,"Saurischia",null
260040,"Acrocanthosaurus","carnivorous","large theropod",12,125,113,"Oklahoma",-94.76667,34.166668,"Saurischia","Carcharodontosauridae"
260041,"Acrocanthosaurus","carnivorous","large theropod",12,125,113,"Oklahoma",-95.806389,34.18,"Saurischia","Carcharodontosauridae"
260042,"Acrocanthosaurus","carnivorous","large theropod",12,125,113,"Oklahoma",-95.792221,34.18,"Saurischia","Carcharodontosauridae"
260589,"Carcharodontosaurus","carnivorous","large theropod",15,112.03,93.5,"Illizi",8.175278,28.15,"Saurischia","Carcharodontosauridae"
260591,"Elaphrosaurus","carnivorous","large theropod",6.2,145,136.4,"Agadez",8.011679,16.464561,"Saurischia",null
260593,"Elaphrosaurus","carnivorous","large theropod",6.2,125,113,"Agadez",9.509186,16.632231,"Saurischia",null
260595,"Carcharodontosaurus","carnivorous","large theropod",15,125,113,"Agadez",9.509186,16.632231,"Saurischia","Carcharodontosauridae"
260596,"Carcharodontosaurus","carnivorous","large theropod",15,113,100.5,"Agadez",10.222018,16.129169,"Saurischia","Carcharodontosauridae"
260598,"Carcharodontosaurus","carnivorous","large theropod",15,113,100.5,"Agadez",9.228752,16.449305,"Saurischia","Carcharodontosauridae"
260599,"Elaphrosaurus","carnivorous","large theropod",6.2,145,93.5,"Yafran",12.016667,31.950001,"Saurischia",null
260601,"Carcharodontosaurus","carnivorous","large theropod",15,112.03,93.5,"Tataouine",10.283333,32.950001,"Saurischia","Carcharodontosauridae"
260606,"Elaphrosaurus","carnivorous","large theropod",6.2,145,136.4,"Agadez",8.050767,16.341337,"Saurischia",null
260828,"Bahariasaurus",null,null,null,112.03,93.5,"Tahoua",5.852992,16.79096,"Saurischia",null
260830,"Aegyptosaurus","herbivorous","sauropod",15,112.03,93.5,"Tahoua",5.852992,16.79096,"Saurischia",null
260832,"Bahariasaurus",null,null,null,105.3,93.5,"Agadez",5.797784,17.708801,"Saurischia",null
260834,"Carcharodontosaurus","carnivorous","large theropod",15,105.3,93.5,"Agadez",5.797784,17.708801,"Saurischia","Carcharodontosauridae"
260835,"Elaphrosaurus","carnivorous","large theropod",6.2,105.3,93.5,"Agadez",5.797784,17.708801,"Saurischia",null
260836,"Spinostropheus",null,null,null,105.3,93.5,"Agadez",5.797784,17.708801,"Saurischia",null
260838,"Aegyptosaurus","herbivorous","sauropod",15,105.3,93.5,"Agadez",5.797784,17.708801,"Saurischia",null
260845,"Aegyptosaurus","herbivorous","sauropod",15,145,136.4,"Agadez",6.932281,16.799726,"Saurischia",null
260899,"Spinostropheus",null,null,null,145,125.45,"Agadez",6.381111,19.317499,"Saurischia",null
260900,"Elaphrosaurus","carnivorous","large theropod",6.2,145,125.45,"Agadez",6.381111,19.317499,"Saurischia",null
260901,"Carcharodontosaurus","carnivorous","large theropod",15,145,125.45,"Agadez",6.381111,19.317499,"Saurischia","Carcharodontosauridae"
261810,"Agnosphitys",null,null,null,208.5,201.3,"England",-2.428333,51.623055,"Saurischia","Guaibasauridae"
261839,"Segisaurus","carnivorous","small theropod",1.5,190.8,174.1,"Arizona",-110.525002,36.780556,"Saurischia",null
261854,"Saturnalia",null,null,null,237,208.5,"Rio Grande do Sul",-53.75,-29.666668,"Saurischia",null
262165,"Carcharodontosaurus","carnivorous","large theropod",15,99.6,93.5,"Er Rachida",-4.836939,30.505667,"Saurischia","Carcharodontosauridae"
262166,"Deltadromeus","carnivorous","large theropod",8.1,99.6,93.5,"Er Rachida",-4.836939,30.505667,"Saurischia",null
262167,"Rebbachisaurus","herbivorous","sauropod",20,99.6,93.5,"Er Rachida",-4.836939,30.505667,"Saurischia","Rebbachisauridae"
262179,"Spinosaurus","carnivorous","large theropod",18,99.6,93.5,"Er Rachida",-4.836939,30.505667,"Saurischia","Spinosauridae"
262347,"Carcharodontosaurus","carnivorous","large theropod",15,145,93.5,"Agadez",9.540314,17.971214,"Saurischia","Carcharodontosauridae"
262360,"Elaphrosaurus","carnivorous","large theropod",6.2,113,100.5,"Tataouine",10.333889,32.266109,"Saurischia",null
263808,"Carnotaurus","carnivorous","large theropod",7.6,83.6,72.1,"Chubut",-67.547501,-43,"Saurischia","Abelisauridae"
266833,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Montana",-112.966667,48.650002,"Saurischia","Dromaeosauridae"
266834,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Montana",-112.966667,48.650002,"Saurischia","Troodontidae"
276681,"Lametasaurus",null,null,null,72.1,66,"Madhya Pradesh",79.972282,23.168694,"Saurischia","Abelisauridae"
276682,"Indosuchus","carnivorous","large theropod",7,72.1,66,"Madhya Pradesh",79.972282,23.168694,"Saurischia","Abelisauridae"
276683,"Indosaurus",null,null,null,72.1,66,"Madhya Pradesh",79.972282,23.168694,"Saurischia","Abelisauridae"
276687,"Laevisuchus",null,null,null,72.1,66,"Madhya Pradesh",79.972282,23.168694,"Saurischia","Noasauridae"
276698,"Titanosaurus",null,null,null,72.1,66,"Madhya Pradesh",79.972282,23.168694,"Saurischia",null
276699,"Jainosaurus",null,null,null,72.1,66,"Madhya Pradesh",79.972282,23.168694,"Saurischia",null
280100,"Troodon","carnivorous","small theropod",2,70.6,66,"Wyoming",-104.48333,43.049999,"Saurischia","Troodontidae"
280101,"Tyrannosaurus","carnivorous","large theropod",12,70.6,66,"Wyoming",-104.48333,43.049999,"Saurischia","Tyrannosauridae"
280102,"Nanotyrannus",null,null,null,70.6,66,"Wyoming",-104.48333,43.049999,"Saurischia","Tyrannosauridae"
280103,"Saurornitholestes","carnivorous","small theropod",1.5,70.6,66,"Wyoming",-104.48333,43.049999,"Saurischia","Dromaeosauridae"
280104,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Wyoming",-104.48333,43.049999,"Saurischia","Dromaeosauridae"
280105,"Dromaeosaurus","carnivorous","small theropod",1.8,70.6,66,"Wyoming",-104.48333,43.049999,"Saurischia","Dromaeosauridae"
280572,"Troodon","carnivorous","small theropod",2,83.6,72.1,"Montana",-112.182777,47.8125,"Saurischia","Troodontidae"
280927,"Duriatitan",null,null,null,155.7,150.8,"England",-2.465735,50.592449,"Saurischia",null
280983,"Ornithopsis",null,null,null,136.4,122.46,"England",-1.423251,50.637585,"Saurischia",null
283057,"Histriasaurus",null,null,null,136.4,125.45,"Istarska Zupanija",13.783611,45.040558,"Saurischia","Rebbachisauridae"
283828,"Plateosaurus","herbivorous","sauropod",7,215.56,212,null,-23.513889,71.827499,"Saurischia","Plateosauridae"
283860,"Plateosaurus","herbivorous","sauropod",7,215.56,212,null,-22.568611,71.383614,"Saurischia","Plateosauridae"
283992,"Parvicursor",null,null,null,83.5,70.6,"Omnogov",101.51667,43.466667,"Saurischia",null
284027,"Pantydraco","herbivorous","ornithopod",3,208.5,201.3,"Wales",-3.373889,51.459999,"Saurischia",null
284147,"Utahraptor","carnivorous","large theropod",6,129.4,125,"Utah",-109.567902,38.826099,"Saurischia","Dromaeosauridae"
284613,"Utahraptor","carnivorous","large theropod",6,125.45,122.46,"Utah",-109.691666,38.718056,"Saurischia","Dromaeosauridae"
284615,"Moabosaurus",null,null,null,125.45,122.46,"Utah",-109.691666,38.718056,"Saurischia",null
287916,"Albertosaurus","carnivorous","large theropod",9,70.6,66,"Wyoming",-104.366669,43.299999,"Saurischia","Tyrannosauridae"
287917,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Wyoming",-104.366669,43.299999,"Saurischia","Troodontidae"
288584,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Texas",-103.51667,29.316668,"Saurischia","Dromaeosauridae"
288586,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Texas",-103.51667,29.316668,"Saurischia","Dromaeosauridae"
291021,"Tyrannosaurus","carnivorous","large theropod",12,70.6,66,"Colorado",-104.491669,40.386391,"Saurischia","Tyrannosauridae"
292785,"Cetiosaurus","herbivorous","sauropod",18,171.6,167.7,"England",-0.666667,52.633331,"Saurischia",null
292850,"Epidendrosaurus",null,null,null,164.7,161.2,"Nei Mongol",119.238609,41.316387,"Saurischia",null
292868,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Hunedoara",22.883333,45.566666,"Saurischia","Dromaeosauridae"
292872,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Hunedoara",22.883333,45.566666,"Saurischia","Troodontidae"
293757,"Fuscinapedis",null,null,null,99.6,93.5,"Texas",-97.132774,33.00111,"Saurischia",null
294012,"Mirischia",null,null,null,113,100.5,"Pernambuco",-40.566666,-7.55,"Saurischia","Compsognathidae"
294055,"Irritator","carnivorous","large theropod",6.5,113,100.5,"Ceará",-39.266666,-7.216667,"Saurischia","Spinosauridae"
295292,"Mamenchisaurus","herbivorous","sauropod",22,163.5,157.3,"Sichuan",104.133301,28.8333,"Saurischia","Mamenchisauridae"
295293,"Xuanhanosaurus",null,null,null,174.1,163.5,"Sichuan",107.633331,31.416668,"Saurischia","Metriacanthosauridae"
295296,"Shunosaurus","herbivorous","sauropod",10,163.5,157.3,"Sichuan",104.852501,29.411388,"Saurischia",null
296444,"Dystrophaeus",null,null,null,161.2,155.7,"Utah",-109.319168,38.122501,"Saurischia",null
296465,"Diplodocus","herbivorous","sauropod",26,157.3,145,"Colorado",-105.224701,38.539501,"Saurischia","Diplodocidae"
297004,"Coelurus","carnivorous","small theropod",1.8,125.45,122.46,"Maryland",-76.88401,39.06189,"Saurischia",null
297120,"Dubreuillosaurus","carnivorous","large theropod",null,167.7,164.7,"Basse-Normandie",0.4,49.416668,"Saurischia","Megalosauridae"
297282,"Variraptor",null,null,null,83.5,70.6,"Provence-Alpes-Côte d'Azur",6.106141,43.606697,"Saurischia","Dromaeosauridae"
297286,"Atsinganosaurus",null,null,null,83.5,70.6,"Provence-Alpes-Côte d'Azur",6.106141,43.606697,"Saurischia",null
297290,"Variraptor",null,null,null,83.5,66,"Bouches-du-Rhône",5.565626,43.534836,"Saurischia","Dromaeosauridae"
297294,"Tarascosaurus",null,null,null,83.5,70.6,"Provence-Alpes-Côte d'Azur",5.8,43.200001,"Saurischia","Abelisauridae"
297299,"Ilokelesia",null,null,null,99.6,89.8,"Neuquén",-69.150002,-39.199722,"Saurischia","Abelisauridae"
297300,"Quilmesaurus",null,null,null,83.5,66,"Río Negro",-67.423424,-39.504959,"Saurischia","Abelisauridae"
297301,"Giganotosaurus","carnivorous","large theropod",12.5,99.6,93.5,"Neuquén",-68.75,-39.516388,"Saurischia","Carcharodontosauridae"
297302,"Aucasaurus","carnivorous","large theropod",5,83.5,70.6,"Neuquén",-68.51667,-37.883331,"Saurischia","Abelisauridae"
297314,"Sphingopus",null,null,null,247.2,237,"Saône-et-Loire",4.416667,46.900002,"Saurischia","Parachirotheriidae"
297555,"Piatnitzkysaurus","carnivorous","large theropod",4.2,166.1,163.5,"Chubut",-69.163521,-43.416218,"Saurischia","Piatnitzkysauridae"
297556,"Patagosaurus","herbivorous","sauropod",18,166.1,163.5,"Chubut",-69.163521,-43.416218,"Saurischia",null
297557,"Volkheimeria",null,null,null,166.1,163.5,"Chubut",-69.163521,-43.416218,"Saurischia",null
297562,"Patagosaurus","herbivorous","sauropod",18,166.1,163.5,"Chubut",-69.187279,-43.358639,"Saurischia",null
297800,"Skartopus",null,null,null,99.6,93.5,"Queensland",142.806671,-23.076111,"Saurischia",null
298934,"Lirainosaurus",null,null,null,83.5,70.6,"Castilla y Leon",-2.634513,42.664555,"Saurischia",null
301076,"Nuthetes",null,null,null,145,140.2,"England",-1.966667,50.599998,"Saurischia","Dromaeosauridae"
301109,"Nuthetes",null,null,null,145,140.2,"England",-1.966667,50.599998,"Saurischia","Dromaeosauridae"
303971,"Cetiosaurus","herbivorous","sauropod",18,167.7,164.7,"England",-1.8,51.985001,"Saurischia",null
303972,"Megalosaurus","carnivorous","large theropod",9,167.7,164.7,"England",-1.8,51.985001,"Saurischia","Megalosauridae"
343501,"Camarasaurus","herbivorous","sauropod",23,163.5,130,"Sakha",117.613899,62.729698,"Saurischia",null
343541,"Megalosauropus",null,null,null,125.45,122.46,"Lisboa",-9.383333,38.799999,"Saurischia",null
343720,"Spinosaurus","carnivorous","large theropod",18,112.03,109,"Tataouine",10.283333,33.150002,"Saurischia","Spinosauridae"
343812,"Pycnonemosaurus",null,null,null,93.9,83.6,"Mato Grosso",-54.584496,-15.465495,"Saurischia","Abelisauridae"
343835,"Abelisaurus","carnivorous","large theropod",9,83.5,70.6,"Río Negro",-67.982765,-38.76173,"Saurischia","Abelisauridae"
343957,"Majungasaurus","carnivorous","large theropod",6,72.1,66,"Mahajanga",46.582222,-15.907778,"Saurischia","Abelisauridae"
343959,"Traukutitan",null,null,null,86.3,83.6,"Neuquén",-68.709045,-38.49762,"Saurischia",null
343961,"Aeolosaurus",null,null,null,83.5,66,"Río Negro",-67.491791,-39.29097,"Saurischia",null
360364,"Zupaysaurus",null,null,null,228,208.5,"La Rioja",-68.066666,-29.85,"Saurischia",null
362179,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Dromaeosauridae"
362355,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Dromaeosauridae"
362356,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Troodontidae"
362396,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Dromaeosauridae"
362397,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Troodontidae"
362681,"Saurornitholestes","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Dromaeosauridae"
362795,"Richardoestesia","carnivorous","small theropod",1.5,83.5,70.6,"Alberta",-110.470001,49.119999,"Saurischia","Dromaeosauridae"
366438,"Coelophysis","carnivorous","small theropod",2,201.3,190.8,"Massachusetts",-72.574997,42.255554,"Saurischia",null
367089,"Rajasaurus",null,null,null,72.1,66,"Gujarat",73.341942,23.057222,"Saurischia","Abelisauridae"
367436,"Troodon","carnivorous","small theropod",2,83.5,70.6,"Alberta",-111.327057,50.809383,"Saurischia","Troodontidae"
367439,"Deinonychus","carnivorous","small theropod",3,125,100.5,"Montana",-108.162003,45.438999,"Saurischia","Dromaeosauridae"
367589,"Vulcanodon","herbivorous","sauropod",6.5,201.3,199.3,"Mashonaland North",28.275,-16.808332,"Saurischia",null
367656,"Massospondylus","omnivorous","sauropod",4,201.3,174.1,"Mashonaland West",30.1,-16.233334,"Saurischia","Massospondylidae"
367667,"Coelophysis","carnivorous","small theropod",2,237,201.3,"Matabeleland North",28.5833,-19.799999,"Saurischia",null
368057,"Megalosauropus",null,null,null,139.8,125,"Western Australia",122.17778,-17.307777,"Saurischia",null
368114,"Albertosaurus","carnivorous","large theropod",9,83.5,70.6,"New Mexico",-108.226997,36.285702,"Saurischia","Tyrannosauridae"
372354,"Coelophysis","carnivorous","small theropod",2,199.3,182.7,"Arizona",-111.014168,35.694168,"Saurischia",null
372355,"Coelophysis","carnivorous","small theropod",2,199.3,182.7,"Arizona",-111.014168,35.694168,"Saurischia",null
372356,"Coelophysis","carnivorous","small theropod",2,199.3,182.7,"Arizona",-111.027779,35.679169,"Saurischia",null
372429,"Compsognathus","carnivorous","small theropod",0.65,150.8,145,"Provence-Alpes-Côte d'Azur",6.37315,43.705021,"Saurischia","Compsognathidae"
372542,"Barapasaurus","herbivorous","sauropod",14,199.3,182.7,"Maharashtra",79.966667,18.85,"Saurischia",null
372803,"Mendozasaurus",null,null,null,89.3,85.8,"Mendoza",-69.375999,-37.061214,"Saurischia",null
372844,"Albertosaurus","carnivorous","large theropod",9,83.6,72.1,"Georgia",-85.026665,32.164165,"Saurischia","Tyrannosauridae"
372881,"Camarasaurus","herbivorous","sauropod",23,157.3,152.1,"Colorado",-108.639168,38.601391,"Saurischia",null
372891,"Blikanasaurus",null,null,null,228,201.3,"Eastern Cape",27.616667,-30.566668,"Saurischia",null
